exp_id,dataset,noise_model,noise_level,uq_method,coverage,mean_width,rmse,mae,r2
Cubic_heteroskedastic_noise02,Cubic,heteroskedastic,0.02,EnsembleCalibrated,0.85200006,0.05716546924303586,0.018161727050662567,0.012507865460557682,0.9984917281570974
Cubic_heteroskedastic_noise05,Cubic,heteroskedastic,0.05,Ensemble,0.666,0.11958247628280724,0.111136240225428,0.0564363454682981,0.9432878578795806
Cubic_heteroskedastic_noise05,Cubic,heteroskedastic,0.05,EnsembleCalibrated,0.76600003,0.13776656377529053,0.111136240225428,0.0564363454682981,0.9432878578795806
Cubic_heteroskedastic_noise10,Cubic,heteroskedastic,0.1,Ensemble,0.83,0.2552452483446068,0.11037949257834401,0.07308206397865245,0.9467990890495429
Cubic_heteroskedastic_noise10,Cubic,heteroskedastic,0.1,EnsembleCalibrated,0.88600004,0.2959034578591793,0.11037949257834401,0.07308206397865245,0.9467990890495429
ExponentialDecay_homoskedastic_noise01,ExponentialDecay,homoskedastic,0.01,Ensemble,0.896,0.02612436941949954,0.012964903164067471,0.007233904306009041,0.999366517478614
ExponentialDecay_homoskedastic_noise01,ExponentialDecay,homoskedastic,0.01,EnsembleCalibrated,0.93200004,0.02809451188352,0.012964903164067471,0.007233904306009041,0.999366517478614
ExponentialDecay_homoskedastic_noise02,ExponentialDecay,homoskedastic,0.02,Ensemble,0.93,0.8355079917385544,0.20593326316702418,0.11812680393377274,0.8400368189830542
ExponentialDecay_homoskedastic_noise02,ExponentialDecay,homoskedastic,0.02,EnsembleCalibrated,0.85200006,0.5336854037354833,0.20593326316702418,0.11812680393377274,0.8400368189830542
ExponentialDecay_homoskedastic_noise05,ExponentialDecay,homoskedastic,0.05,Ensemble,0.646,0.0680022880946703,0.032793129695243,0.025333818115890503,0.9959482965277223
ExponentialDecay_homoskedastic_noise05,ExponentialDecay,homoskedastic,0.05,EnsembleCalibrated,0.72800004,0.08842503317922612,0.032793129695243,0.025333818115890503,0.9959482965277223
ExponentialDecay_homoskedastic_noise10,ExponentialDecay,homoskedastic,0.1,Ensemble,0.694,0.13934162069509354,0.08871847187222046,0.061425445977532536,0.9709833967944654
ExponentialDecay_homoskedastic_noise10,ExponentialDecay,homoskedastic,0.1,EnsembleCalibrated,0.70000005,0.14353750425654754,0.08871847187222046,0.061425445977532536,0.9709833967944654
ExponentialDecay_heteroskedastic_noise01,ExponentialDecay,heteroskedastic,0.01,Ensemble,0.938,0.05434125778082947,0.016798125212238255,0.011600674692230906,0.9989390568796598
ExponentialDecay_heteroskedastic_noise01,ExponentialDecay,heteroskedastic,0.01,EnsembleCalibrated,0.938,0.05342687114574441,0.016798125212238255,0.011600674692230906,0.9989390568796598
ExponentialDecay_heteroskedastic_noise02,ExponentialDecay,heteroskedastic,0.02,Ensemble,1.0,6.892838320502289,0.44023385408280186,0.35773252348842516,0.268342370719172
ExponentialDecay_heteroskedastic_noise02,ExponentialDecay,heteroskedastic,0.02,EnsembleCalibrated,1.0,3.915516589227555,0.44023385408280186,0.35773252348842516,0.268342370719172
ExponentialDecay_heteroskedastic_noise05,ExponentialDecay,heteroskedastic,0.05,Ensemble,0.934,0.23667084025057736,0.06383861281638475,0.04707473512960683,0.9848344188633074
ExponentialDecay_heteroskedastic_noise05,ExponentialDecay,heteroskedastic,0.05,EnsembleCalibrated,0.874,0.19867358504960586,0.06383861281638475,0.04707473512960683,0.9848344188633074
ExponentialDecay_heteroskedastic_noise10,ExponentialDecay,heteroskedastic,0.1,Ensemble,0.84,0.37301410165221277,0.15222680505850258,0.09984188928562378,0.9190476800374898
ExponentialDecay_heteroskedastic_noise10,ExponentialDecay,heteroskedastic,0.1,EnsembleCalibrated,0.91200006,0.4393569340900438,0.15222680505850258,0.09984188928562378,0.9190476800374898
LogisticGrowth_homoskedastic_noise01,LogisticGrowth,homoskedastic,0.01,Ensemble,0.886,0.625868309797188,0.16939425398186805,0.15759547763649862,0.8106173817083802
LogisticGrowth_homoskedastic_noise01,LogisticGrowth,homoskedastic,0.01,EnsembleCalibrated,0.99000007,0.6736809709537172,0.16939425398186805,0.15759547763649862,0.8106173817083802
LogisticGrowth_homoskedastic_noise02,LogisticGrowth,homoskedastic,0.02,Ensemble,0.914,0.048058309680254964,0.010486037548835115,0.00842497534440833,0.9992741290035341
LogisticGrowth_homoskedastic_noise02,LogisticGrowth,homoskedastic,0.02,EnsembleCalibrated,0.95600003,0.06416059697235509,0.010486037548835115,0.00842497534440833,0.9992741290035341
LogisticGrowth_homoskedastic_noise05,LogisticGrowth,homoskedastic,0.05,Ensemble,0.898,0.09048121900608572,0.02099039881162793,0.016886571271522783,0.9971087951286867
LogisticGrowth_homoskedastic_noise05,LogisticGrowth,homoskedastic,0.05,EnsembleCalibrated,0.92800003,0.09718640275666195,0.02099039881162793,0.016886571271522783,0.9971087951286867
LogisticGrowth_homoskedastic_noise10,LogisticGrowth,homoskedastic,0.1,Ensemble,0.884,0.13744283280481406,0.03856648537528946,0.03063104385361171,0.9902699433582811
LogisticGrowth_homoskedastic_noise10,LogisticGrowth,homoskedastic,0.1,EnsembleCalibrated,0.91,0.15935802662132792,0.03856648537528946,0.03063104385361171,0.9902699433582811
LogisticGrowth_heteroskedastic_noise01,LogisticGrowth,heteroskedastic,0.01,Ensemble,0.882,0.02359619208667036,0.009657250505160956,0.006620589151840703,0.9993852147353218
LogisticGrowth_heteroskedastic_noise01,LogisticGrowth,heteroskedastic,0.01,EnsembleCalibrated,0.92200005,0.026098196994237488,0.009657250505160956,0.006620589151840703,0.9993852147353218
LogisticGrowth_heteroskedastic_noise02,LogisticGrowth,heteroskedastic,0.02,Ensemble,0.748,0.02993144285095346,0.014605285406033583,0.00916042126718029,0.9985931015279625
LogisticGrowth_heteroskedastic_noise02,LogisticGrowth,heteroskedastic,0.02,EnsembleCalibrated,0.864,0.04235230562205591,0.014605285406033583,0.00916042126718029,0.9985931015279625
LogisticGrowth_heteroskedastic_noise05,LogisticGrowth,heteroskedastic,0.05,Ensemble,0.81,0.07804563790906564,0.038237833048227234,0.025520810662408577,0.9904887177685964
LogisticGrowth_heteroskedastic_noise05,LogisticGrowth,heteroskedastic,0.05,EnsembleCalibrated,0.79,0.07569982780026976,0.038237833048227234,0.025520810662408577,0.9904887177685964
LogisticGrowth_heteroskedastic_noise10,LogisticGrowth,heteroskedastic,0.1,Ensemble,0.814,0.1480923507429252,0.06556148005383107,0.04275099973552322,0.9725870274937056
LogisticGrowth_heteroskedastic_noise10,LogisticGrowth,heteroskedastic,0.1,EnsembleCalibrated,0.8,0.14476824991019066,0.06556148005383107,0.04275099973552322,0.9725870274937056
MichaelisMenten_homoskedastic_noise01,MichaelisMenten,homoskedastic,0.01,Ensemble,0.744,0.011846982521724872,0.0113679116501615,0.004635125180471609,0.9965631694608428
MichaelisMenten_homoskedastic_noise01,MichaelisMenten,homoskedastic,0.01,EnsembleCalibrated,0.79800004,0.013789736268384827,0.0113679116501615,0.004635125180471609,0.9965631694608428
MichaelisMenten_homoskedastic_noise02,MichaelisMenten,homoskedastic,0.02,Ensemble,0.67,0.013983167654560622,0.011146902603239443,0.006254652419351979,0.9966919414650642
MichaelisMenten_homoskedastic_noise02,MichaelisMenten,homoskedastic,0.02,EnsembleCalibrated,0.83000004,0.018224950527541844,0.011146902603239443,0.006254652419351979,0.9966919414650642
MichaelisMenten_homoskedastic_noise05,MichaelisMenten,homoskedastic,0.05,Ensemble,0.792,0.034706860149212045,0.011064225634014583,0.008883356094222259,0.9967564108316648
MichaelisMenten_homoskedastic_noise05,MichaelisMenten,homoskedastic,0.05,EnsembleCalibrated,0.776,0.033041731024402866,0.011064225634014583,0.008883356094222259,0.9967564108316648
