alpha_1,alpha_2,lambda_1,lambda_2,dataset,noise_model,noise_level,coverage,width,score
1e-05,1e-07,1e-05,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5083443091953694,1.2541721545976847
1e-05,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5475516100352236,1.7737758050176118
1e-05,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.438214697052726,1.719107348526363
1e-05,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078752767674588,0.9039376383837294
1e-05,1e-07,1e-05,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0835429374115346,1.0417714687057673
1e-05,1e-07,1e-05,1e-06,LennardJones,homoskedastic,0.01,1.0,2.03372902948767,1.016864514743835
1e-05,1e-07,1e-05,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0512540808534294,1.0256270404267147
1e-05,1e-07,1e-05,1e-06,LennardJones,homoskedastic,0.05,1.0,2.0170726719168472,1.0085363359584236
1e-05,1e-07,1e-05,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0945373303448824,1.0472686651724412
1e-05,1e-07,1e-05,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.0384110095132146,1.0192055047566073
1e-05,1e-07,1e-05,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9635498021964972,0.9817749010982486
1e-05,1e-07,1e-05,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.029231826579766,1.014615913289883
1e-05,1e-07,1e-05,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.13278114681381,1.066390573406905
1e-05,1e-07,1e-05,1e-06,Shomate,homoskedastic,0.01,1.0,1.6015201337093758,0.8007600668546879
1e-05,1e-07,1e-05,1e-06,Shomate,homoskedastic,0.02,1.0,2.0611307450278717,1.0305653725139359
1e-05,1e-07,1e-05,1e-06,Shomate,homoskedastic,0.05,1.0,1.7641442548204425,0.8820721274102212
1e-05,1e-07,1e-05,1e-06,Shomate,homoskedastic,0.1,1.0,2.15954479397424,1.07977239698712
1e-05,1e-07,1e-05,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2938336859696227,0.6469168429848113
1e-05,1e-07,1e-05,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817878342196566,0.4408939171098283
1e-05,1e-07,1e-05,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864308647057001,0.44321543235285005
1e-05,1e-07,1e-05,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944804458862346,0.5972402229431173
1e-05,1e-07,1e-05,1e-05,Line,homoskedastic,0.01,1.0,3.1259003878965057,1.5629501939482529
1e-05,1e-07,1e-05,1e-05,Line,homoskedastic,0.02,1.0,3.1412634690967884,1.5706317345483942
1e-05,1e-07,1e-05,1e-05,Line,homoskedastic,0.05,1.0,3.1296314721274845,1.5648157360637422
1e-05,1e-07,1e-05,1e-05,Line,homoskedastic,0.1,1.0,3.1059251804772465,1.5529625902386233
1e-05,1e-07,1e-05,1e-05,Line,heteroskedastic,0.01,1.0,3.1394815703633823,1.5697407851816911
1e-05,1e-07,1e-05,1e-05,Line,heteroskedastic,0.02,1.0,3.1554403718769777,1.5777201859384888
1e-05,1e-07,1e-05,1e-05,Line,heteroskedastic,0.05,1.0,3.1160411491168936,1.5580205745584468
1e-05,1e-07,1e-05,1e-05,Line,heteroskedastic,0.1,1.0,3.065110032098728,1.532555016049364
1e-05,1e-07,1e-05,1e-05,Polynomial,homoskedastic,0.01,1.0,3.660734351362716,1.830367175681358
1e-05,1e-07,1e-05,1e-05,Polynomial,homoskedastic,0.02,1.0,3.460140656952481,1.7300703284762404
1e-05,1e-07,1e-05,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3241566974854515,1.6620783487427258
1e-05,1e-07,1e-05,1e-05,Polynomial,homoskedastic,0.1,1.0,2.508392625608896,1.254196312804448
1e-05,1e-07,1e-05,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.5475649306028227,1.7737824653014114
1e-05,1e-07,1e-05,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.4382294421571507,1.7191147210785753
1e-05,1e-07,1e-05,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.807909420674861,0.9039547103374305
1e-05,1e-07,1e-05,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0836643804865806,1.0418321902432903
1e-05,1e-07,1e-05,1e-05,LennardJones,homoskedastic,0.01,1.0,2.033763033442821,1.0168815167214105
1e-05,1e-07,1e-05,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0512878104612575,1.0256439052306288
1e-05,1e-07,1e-05,1e-05,LennardJones,homoskedastic,0.05,1.0,2.0171070632164305,1.0085535316082153
1e-05,1e-07,1e-05,1e-05,LennardJones,homoskedastic,0.1,1.0,2.094570926634478,1.047285463317239
1e-05,1e-07,1e-05,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384449655368413,1.0192224827684206
1e-05,1e-07,1e-05,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.963585190321818,0.981792595160909
1e-05,1e-07,1e-05,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.029267009278506,1.014633504639253
1e-05,1e-07,1e-05,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.132819644506695,1.0664098222533476
1e-05,1e-07,1e-05,1e-05,Shomate,homoskedastic,0.01,1.0,1.6015521433996824,0.8007760716998412
1e-05,1e-07,1e-05,1e-05,Shomate,homoskedastic,0.02,1.0,2.061155429130975,1.0305777145654875
1e-05,1e-07,1e-05,1e-05,Shomate,homoskedastic,0.05,1.0,1.7641946244891815,0.8820973122445908
1e-05,1e-07,1e-05,1e-05,Shomate,homoskedastic,0.1,1.0,2.1596039401740854,1.0798019700870427
1e-05,1e-07,1e-05,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2938798069595732,0.6469399034797866
1e-05,1e-07,1e-05,1e-05,Shomate,heteroskedastic,0.02,1.0,0.8818611237130699,0.44093056185653495
1e-05,1e-07,1e-05,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865431123697125,0.44327155618485625
1e-05,1e-07,1e-05,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945658670941754,0.5972829335470877
1e-05,1e-06,1e-07,1e-07,Line,homoskedastic,0.01,1.0,3.1258827428470797,1.5629413714235398
1e-05,1e-06,1e-07,1e-07,Line,homoskedastic,0.02,1.0,3.141246212829293,1.5706231064146465
1e-05,1e-06,1e-07,1e-07,Line,homoskedastic,0.05,1.0,3.1296139098793976,1.5648069549396988
1e-05,1e-06,1e-07,1e-07,Line,homoskedastic,0.1,1.0,3.1059069884535107,1.5529534942267553
1e-05,1e-06,1e-07,1e-07,Line,heteroskedastic,0.01,1.0,3.139464265775365,1.5697321328876825
1e-05,1e-06,1e-07,1e-07,Line,heteroskedastic,0.02,1.0,3.1554234631989604,1.5777117315994802
1e-05,1e-06,1e-07,1e-07,Line,heteroskedastic,0.05,1.0,3.1160232017704654,1.5580116008852327
1e-05,1e-06,1e-07,1e-07,Line,heteroskedastic,0.1,1.0,3.065090609851898,1.532545304925949
1e-05,1e-06,1e-07,1e-07,Polynomial,homoskedastic,0.01,1.0,3.6606146139138747,1.8303073069569373
1e-05,1e-06,1e-07,1e-07,Polynomial,homoskedastic,0.02,1.0,3.460039166459812,1.730019583229906
1e-05,1e-06,1e-07,1e-07,Polynomial,homoskedastic,0.05,1.0,3.3240311214537166,1.6620155607268583
1e-05,1e-06,1e-07,1e-07,Polynomial,homoskedastic,0.1,1.0,2.508224028318039,1.2541120141590194
1e-05,1e-06,1e-07,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.547406750974564,1.773703375487282
1e-05,1e-06,1e-07,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.4381180983908664,1.7190590491954332
1e-05,1e-06,1e-07,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.807864451268531,0.9039322256342655
1e-05,1e-06,1e-07,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.083489152557261,1.0417445762786306
1e-05,1e-06,1e-07,1e-07,LennardJones,homoskedastic,0.01,1.0,2.033711032400395,1.0168555162001975
1e-05,1e-06,1e-07,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0512336758969476,1.0256168379484738
1e-05,1e-06,1e-07,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0170542304828256,1.0085271152414128
1e-05,1e-06,1e-07,1e-07,LennardJones,homoskedastic,0.1,1.0,2.0945161690867065,1.0472580845433532
1e-05,1e-06,1e-07,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.038395666498203,1.0191978332491014
1e-05,1e-06,1e-07,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635289379854695,0.9817644689927347
1e-05,1e-06,1e-07,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.029215299504488,1.014607649752244
1e-05,1e-06,1e-07,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.132755772416227,1.0663778862081135
1e-05,1e-06,1e-07,1e-07,Shomate,homoskedastic,0.01,1.0,1.6012473976410098,0.8006236988205049
1e-05,1e-06,1e-07,1e-07,Shomate,homoskedastic,0.02,1.0,2.0610525627798624,1.0305262813899312
1e-05,1e-06,1e-07,1e-07,Shomate,homoskedastic,0.05,1.0,1.7640465058306272,0.8820232529153136
1e-05,1e-06,1e-07,1e-07,Shomate,homoskedastic,0.1,1.0,2.159422689920713,1.0797113449603566
1e-05,1e-06,1e-07,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2937462763115377,0.6468731381557689
1e-05,1e-06,1e-07,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817896964882667,0.44089484824413333
1e-05,1e-06,1e-07,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864247564241018,0.4432123782120509
1e-05,1e-06,1e-07,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944779323401193,0.5972389661700597
1e-05,1e-06,1e-07,1e-06,Line,homoskedastic,0.01,1.0,3.125887166975011,1.5629435834875054
1e-05,1e-06,1e-07,1e-06,Line,homoskedastic,0.02,1.0,3.14125061534822,1.57062530767411
1e-05,1e-06,1e-07,1e-06,Line,homoskedastic,0.05,1.0,3.1296183292890065,1.5648091646445033
1e-05,1e-06,1e-07,1e-06,Line,homoskedastic,0.1,1.0,3.105911443052972,1.552955721526486
1e-05,1e-06,1e-07,1e-06,Line,heteroskedastic,0.01,1.0,3.139468670831711,1.5697343354158555
1e-05,1e-06,1e-07,1e-06,Line,heteroskedastic,0.02,1.0,3.1554278464063783,1.5777139232031892
1e-05,1e-06,1e-07,1e-06,Line,heteroskedastic,0.05,1.0,3.1160276427322193,1.5580138213661097
1e-05,1e-06,1e-07,1e-06,Line,heteroskedastic,0.1,1.0,3.0650951339835566,1.5325475669917783
1e-05,1e-06,1e-07,1e-06,Polynomial,homoskedastic,0.01,1.0,3.6606158819100756,1.8303079409550378
1e-05,1e-06,1e-07,1e-06,Polynomial,homoskedastic,0.02,1.0,3.460040534345294,1.730020267172647
1e-05,1e-06,1e-07,1e-06,Polynomial,homoskedastic,0.05,1.0,3.3240328324127506,1.6620164162063753
1e-05,1e-06,1e-07,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5082288607505743,1.2541144303752871
1e-05,1e-06,1e-07,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.547408083242096,1.773704041621048
1e-05,1e-06,1e-07,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.438119573074656,1.719059786537328
1e-05,1e-06,1e-07,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078678657731273,0.9039339328865637
1e-05,1e-06,1e-07,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0835012952743353,1.0417506476371676
1e-05,1e-06,1e-07,1e-06,LennardJones,homoskedastic,0.01,1.0,2.033714433027218,1.016857216513609
1e-05,1e-06,1e-07,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0512370491022343,1.0256185245511171
1e-05,1e-06,1e-07,1e-06,LennardJones,homoskedastic,0.05,1.0,2.0170576698499647,1.0085288349249824
1e-05,1e-06,1e-07,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0945195289667287,1.0472597644833643
1e-05,1e-06,1e-07,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038399062308261,1.0191995311541304
1e-05,1e-06,1e-07,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.9635324770725868,0.9817662385362934
1e-05,1e-06,1e-07,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0292188180085518,1.0146094090042759
1e-05,1e-06,1e-07,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1327596225176224,1.0663798112588112
1e-05,1e-06,1e-07,1e-06,Shomate,homoskedastic,0.01,1.0,1.6012505983719183,0.8006252991859591
1e-05,1e-06,1e-07,1e-06,Shomate,homoskedastic,0.02,1.0,2.0610550315787344,1.0305275157893672
1e-05,1e-06,1e-07,1e-06,Shomate,homoskedastic,0.05,1.0,1.7640515442628826,0.8820257721314413
1e-05,1e-06,1e-07,1e-06,Shomate,homoskedastic,0.1,1.0,2.159428607132959,1.0797143035664796
1e-05,1e-06,1e-07,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2937508899250019,0.6468754449625009
1e-05,1e-06,1e-07,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817970261066647,0.44089851305333233
1e-05,1e-06,1e-07,1e-06,Shomate,heteroskedastic,0.05,1.0,0.8864359824929458,0.4432179912464729
1e-05,1e-06,1e-07,1e-06,Shomate,heteroskedastic,0.1,1.0,1.19448647511003,0.597243237555015
1e-05,1e-06,1e-07,1e-05,Line,homoskedastic,0.01,1.0,3.125931407909935,1.5629657039549676
1e-05,1e-06,1e-07,1e-05,Line,homoskedastic,0.02,1.0,3.1412946401981223,1.5706473200990612
1e-05,1e-06,1e-07,1e-05,Line,homoskedastic,0.05,1.0,3.1296625230416932,1.5648312615208466
1e-05,1e-06,1e-07,1e-05,Line,homoskedastic,0.1,1.0,3.105955988695562,1.552977994347781
1e-05,1e-06,1e-07,1e-05,Line,heteroskedastic,0.01,1.0,3.139512721055197,1.5697563605275986
1e-05,1e-06,1e-07,1e-05,Line,heteroskedastic,0.02,1.0,3.1554716781455263,1.5777358390727632
1e-05,1e-06,1e-07,1e-05,Line,heteroskedastic,0.05,1.0,3.116072052000761,1.5580360260003805
1e-05,1e-06,1e-07,1e-05,Line,heteroskedastic,0.1,1.0,3.065140374928871,1.5325701874644355
1e-05,1e-06,1e-07,1e-05,Polynomial,homoskedastic,0.01,1.0,3.660628561854635,1.8303142809273174
1e-05,1e-06,1e-07,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4600542131651757,1.7300271065825878
1e-05,1e-06,1e-07,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3240499419143243,1.6620249709571622
1e-05,1e-06,1e-07,1e-05,Polynomial,homoskedastic,0.1,1.0,2.508277183404221,1.2541385917021104
1e-05,1e-06,1e-07,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.5474214058956344,1.7737107029478172
1e-05,1e-06,1e-07,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.4381343198674306,1.7190671599337153
1e-05,1e-06,1e-07,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.807902010281312,0.903951005140656
1e-05,1e-06,1e-07,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0836227265198315,1.0418113632599157
1e-05,1e-06,1e-07,1e-05,LennardJones,homoskedastic,0.01,1.0,2.0337484389825056,1.0168742194912528
1e-05,1e-06,1e-07,1e-05,LennardJones,homoskedastic,0.02,1.0,2.051270780849259,1.0256353904246296
1e-05,1e-06,1e-07,1e-05,LennardJones,homoskedastic,0.05,1.0,2.017092063194569,1.0085460315972845
1e-05,1e-06,1e-07,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0945531274497893,1.0472765637248946
1e-05,1e-06,1e-07,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384330200964156,1.0192165100482078
1e-05,1e-06,1e-07,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9635678675859805,0.9817839337929902
1e-05,1e-06,1e-07,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0292540026709953,1.0146270013354977
1e-05,1e-06,1e-07,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.132798122900983,1.0663990614504915
1e-05,1e-06,1e-07,1e-05,Shomate,homoskedastic,0.01,1.0,1.6012826053033853,0.8006413026516926
1e-05,1e-06,1e-07,1e-05,Shomate,homoskedastic,0.02,1.0,2.061079719358653,1.0305398596793265
1e-05,1e-06,1e-07,1e-05,Shomate,homoskedastic,0.05,1.0,1.764101925904783,0.8820509629523915
1e-05,1e-06,1e-07,1e-05,Shomate,homoskedastic,0.1,1.0,2.15948777325457,1.079743886627285
1e-05,1e-06,1e-07,1e-05,Shomate,heteroskedastic,0.01,1.0,1.2937970243672456,0.6468985121836228
1e-05,1e-06,1e-07,1e-05,Shomate,heteroskedastic,0.02,1.0,0.881870317371953,0.4409351586859765
1e-05,1e-06,1e-07,1e-05,Shomate,heteroskedastic,0.05,1.0,0.8865482308688134,0.4432741154344067
1e-05,1e-06,1e-07,1e-05,Shomate,heteroskedastic,0.1,1.0,1.1945718966858363,0.5972859483429181
1e-05,1e-06,1e-06,1e-07,Line,homoskedastic,0.01,1.0,3.1258799295729784,1.5629399647864892
1e-05,1e-06,1e-06,1e-07,Line,homoskedastic,0.02,1.0,3.141243385748452,1.570621692874226
1e-05,1e-06,1e-06,1e-07,Line,homoskedastic,0.05,1.0,3.1296110935607175,1.5648055467803588
1e-05,1e-06,1e-06,1e-07,Line,homoskedastic,0.1,1.0,3.105904194123751,1.5529520970618755
1e-05,1e-06,1e-06,1e-07,Line,heteroskedastic,0.01,1.0,3.13946144030928,1.56973072015464
1e-05,1e-06,1e-06,1e-07,Line,heteroskedastic,0.02,1.0,3.155420623629656,1.577710311814828
1e-05,1e-06,1e-06,1e-07,Line,heteroskedastic,0.05,1.0,3.116020398905499,1.5580101994527495
1e-05,1e-06,1e-06,1e-07,Line,heteroskedastic,0.1,1.0,3.0650878580531615,1.5325439290265808
1e-05,1e-06,1e-06,1e-07,Polynomial,homoskedastic,0.01,1.0,3.660613508158321,1.8303067540791604
1e-05,1e-06,1e-06,1e-07,Polynomial,homoskedastic,0.02,1.0,3.4600381009133154,1.7300190504566577
1e-05,1e-06,1e-06,1e-07,Polynomial,homoskedastic,0.05,1.0,3.324029891999766,1.662014945999883
1e-05,1e-06,1e-06,1e-07,Polynomial,homoskedastic,0.1,1.0,2.508222061472922,1.254111030736461
1e-05,1e-06,1e-06,1e-07,Polynomial,heteroskedastic,0.01,1.0,3.5474056599519934,1.7737028299759967
1e-05,1e-06,1e-06,1e-07,Polynomial,heteroskedastic,0.02,1.0,3.438116964697831,1.7190584823489155
1e-05,1e-06,1e-06,1e-07,Polynomial,heteroskedastic,0.05,1.0,1.8078637270735272,0.9039318635367636
1e-05,1e-06,1e-06,1e-07,Polynomial,heteroskedastic,0.1,1.0,2.083485778718712,1.041742889359356
1e-05,1e-06,1e-06,1e-07,LennardJones,homoskedastic,0.01,1.0,2.03371011707859,1.016855058539295
1e-05,1e-06,1e-06,1e-07,LennardJones,homoskedastic,0.02,1.0,2.0512327522837106,1.0256163761418553
1e-05,1e-06,1e-06,1e-07,LennardJones,homoskedastic,0.05,1.0,2.0170533200881824,1.0085266600440912
1e-05,1e-06,1e-06,1e-07,LennardJones,homoskedastic,0.1,1.0,2.094515211467635,1.0472576057338174
1e-05,1e-06,1e-06,1e-07,LennardJones,heteroskedastic,0.01,1.0,2.0383947483264775,1.0191973741632387
1e-05,1e-06,1e-06,1e-07,LennardJones,heteroskedastic,0.02,1.0,1.9635280504336623,0.9817640252168311
1e-05,1e-06,1e-06,1e-07,LennardJones,heteroskedastic,0.05,1.0,2.0292143595041803,1.0146071797520901
1e-05,1e-06,1e-06,1e-07,LennardJones,heteroskedastic,0.1,1.0,2.1327546487355358,1.0663773243677679
1e-05,1e-06,1e-06,1e-07,Shomate,homoskedastic,0.01,1.0,1.6012468838189944,0.8006234419094972
1e-05,1e-06,1e-06,1e-07,Shomate,homoskedastic,0.02,1.0,2.0610519078164775,1.0305259539082388
1e-05,1e-06,1e-06,1e-07,Shomate,homoskedastic,0.05,1.0,1.7640455848736754,0.8820227924368377
1e-05,1e-06,1e-06,1e-07,Shomate,homoskedastic,0.1,1.0,2.159421123425504,1.079710561712752
1e-05,1e-06,1e-06,1e-07,Shomate,heteroskedastic,0.01,1.0,1.2937458082174025,0.6468729041087012
1e-05,1e-06,1e-06,1e-07,Shomate,heteroskedastic,0.02,1.0,0.8817893840579111,0.44089469202895554
1e-05,1e-06,1e-06,1e-07,Shomate,heteroskedastic,0.05,1.0,0.8864243846341856,0.4432121923170928
1e-05,1e-06,1e-06,1e-07,Shomate,heteroskedastic,0.1,1.0,1.1944774251187762,0.5972387125593881
1e-05,1e-06,1e-06,1e-06,Line,homoskedastic,0.01,1.0,3.1258843536969283,1.5629421768484641
1e-05,1e-06,1e-06,1e-06,Line,homoskedastic,0.02,1.0,3.1412477882634167,1.5706238941317083
1e-05,1e-06,1e-06,1e-06,Line,homoskedastic,0.05,1.0,3.12961551296635,1.564807756483175
1e-05,1e-06,1e-06,1e-06,Line,homoskedastic,0.1,1.0,3.1059086487192054,1.5529543243596027
1e-05,1e-06,1e-06,1e-06,Line,heteroskedastic,0.01,1.0,3.13946584536166,1.56973292268083
1e-05,1e-06,1e-06,1e-06,Line,heteroskedastic,0.02,1.0,3.1554250068331298,1.5777125034165649
1e-05,1e-06,1e-06,1e-06,Line,heteroskedastic,0.05,1.0,3.1160248398632584,1.5580124199316292
1e-05,1e-06,1e-06,1e-06,Line,heteroskedastic,0.1,1.0,3.065092382180762,1.532546191090381
1e-05,1e-06,1e-06,1e-06,Polynomial,homoskedastic,0.01,1.0,3.660614776153181,1.8303073880765905
1e-05,1e-06,1e-06,1e-06,Polynomial,homoskedastic,0.02,1.0,3.4600394687974423,1.7300197343987211
1e-05,1e-06,1e-06,1e-06,Polynomial,homoskedastic,0.05,1.0,3.324031602959347,1.6620158014796735
1e-05,1e-06,1e-06,1e-06,Polynomial,homoskedastic,0.1,1.0,2.5082268939103223,1.2541134469551611
1e-05,1e-06,1e-06,1e-06,Polynomial,heteroskedastic,0.01,1.0,3.5474069922200933,1.7737034961100466
1e-05,1e-06,1e-06,1e-06,Polynomial,heteroskedastic,0.02,1.0,3.438118439381212,1.719059219690606
1e-05,1e-06,1e-06,1e-06,Polynomial,heteroskedastic,0.05,1.0,1.8078671415772698,0.9039335707886349
1e-05,1e-06,1e-06,1e-06,Polynomial,heteroskedastic,0.1,1.0,2.0834979213778837,1.0417489606889418
1e-05,1e-06,1e-06,1e-06,LennardJones,homoskedastic,0.01,1.0,2.0337135177038825,1.0168567588519413
1e-05,1e-06,1e-06,1e-06,LennardJones,homoskedastic,0.02,1.0,2.0512361254874896,1.0256180627437448
1e-05,1e-06,1e-06,1e-06,LennardJones,homoskedastic,0.05,1.0,2.017056759453788,1.008528379726894
1e-05,1e-06,1e-06,1e-06,LennardJones,homoskedastic,0.1,1.0,2.0945185713462244,1.0472592856731122
1e-05,1e-06,1e-06,1e-06,LennardJones,heteroskedastic,0.01,1.0,2.038398144135018,1.019199072067509
1e-05,1e-06,1e-06,1e-06,LennardJones,heteroskedastic,0.02,1.0,1.963531589519212,0.981765794759606
1e-05,1e-06,1e-06,1e-06,LennardJones,heteroskedastic,0.05,1.0,2.0292178780068135,1.0146089390034068
1e-05,1e-06,1e-06,1e-06,LennardJones,heteroskedastic,0.1,1.0,2.1327584988361687,1.0663792494180844
1e-05,1e-06,1e-06,1e-06,Shomate,homoskedastic,0.01,1.0,1.6012500845486655,0.8006250422743327
1e-05,1e-06,1e-06,1e-06,Shomate,homoskedastic,0.02,1.0,2.0610543766155325,1.0305271883077662
1e-05,1e-06,1e-06,1e-06,Shomate,homoskedastic,0.05,1.0,1.7640506233087885,0.8820253116543942
1e-05,1e-06,1e-06,1e-06,Shomate,homoskedastic,0.1,1.0,2.159427040650769,1.0797135203253845
1e-05,1e-06,1e-06,1e-06,Shomate,heteroskedastic,0.01,1.0,1.2937504218303657,0.6468752109151829
1e-05,1e-06,1e-06,1e-06,Shomate,heteroskedastic,0.02,1.0,0.8817967136746385,0.44089835683731926
1e-05,1e-06,1e-06,1e-06,Shomate,heteroskedastic,0.05,1.0,0.886435610699505,0.4432178053497525
1e-05,1e-06,1e-06,1e-06,Shomate,heteroskedastic,0.1,1.0,1.1944859678865796,0.5972429839432898
1e-05,1e-06,1e-06,1e-05,Line,homoskedastic,0.01,1.0,3.125928594592036,1.562964297296018
1e-05,1e-06,1e-06,1e-05,Line,homoskedastic,0.02,1.0,3.1412918130736958,1.5706459065368479
1e-05,1e-06,1e-06,1e-05,Line,homoskedastic,0.05,1.0,3.1296597066792686,1.5648298533396343
1e-05,1e-06,1e-06,1e-05,Line,homoskedastic,0.1,1.0,3.1059531943217267,1.5529765971608633
1e-05,1e-06,1e-06,1e-05,Line,heteroskedastic,0.01,1.0,3.1395098955455034,1.5697549477727517
1e-05,1e-06,1e-06,1e-05,Line,heteroskedastic,0.02,1.0,3.1554688385328347,1.5777344192664173
1e-05,1e-06,1e-06,1e-05,Line,heteroskedastic,0.05,1.0,3.116069249091861,1.5580346245459304
1e-05,1e-06,1e-06,1e-05,Line,heteroskedastic,0.1,1.0,3.065137623085481,1.5325688115427405
1e-05,1e-06,1e-06,1e-05,Polynomial,homoskedastic,0.01,1.0,3.660627456093965,1.8303137280469826
1e-05,1e-06,1e-06,1e-05,Polynomial,homoskedastic,0.02,1.0,3.4600531476137992,1.7300265738068996
1e-05,1e-06,1e-06,1e-05,Polynomial,homoskedastic,0.05,1.0,3.3240487124594953,1.6620243562297476
1e-05,1e-06,1e-06,1e-05,Polynomial,homoskedastic,0.1,1.0,2.5082752166091504,1.2541376083045752
1e-05,1e-06,1e-06,1e-05,Polynomial,heteroskedastic,0.01,1.0,3.5474203148687704,1.7737101574343852
1e-05,1e-06,1e-06,1e-05,Polynomial,heteroskedastic,0.02,1.0,3.438133186171386,1.719066593085693
1e-05,1e-06,1e-06,1e-05,Polynomial,heteroskedastic,0.05,1.0,1.8079012860788408,0.9039506430394204
1e-05,1e-06,1e-06,1e-05,Polynomial,heteroskedastic,0.1,1.0,2.0836193520398427,1.0418096760199214
1e-05,1e-06,1e-06,1e-05,LennardJones,homoskedastic,0.01,1.0,2.033747523643884,1.016873761821942
1e-05,1e-06,1e-06,1e-05,LennardJones,homoskedastic,0.02,1.0,2.0512698572193617,1.0256349286096809
1e-05,1e-06,1e-06,1e-05,LennardJones,homoskedastic,0.05,1.0,2.0170911527830664,1.0085455763915332
1e-05,1e-06,1e-06,1e-05,LennardJones,homoskedastic,0.1,1.0,2.0945521698149454,1.0472760849074727
1e-05,1e-06,1e-06,1e-05,LennardJones,heteroskedastic,0.01,1.0,2.0384321019079366,1.0192160509539683
1e-05,1e-06,1e-06,1e-05,LennardJones,heteroskedastic,0.02,1.0,1.9635669800169049,0.9817834900084524
1e-05,1e-06,1e-06,1e-05,LennardJones,heteroskedastic,0.05,1.0,2.0292530626549286,1.0146265313274643
1e-05,1e-06,1e-06,1e-05,LennardJones,heteroskedastic,0.1,1.0,2.1327969992118754,1.0663984996059377
1e-05,1e-06,1e-06,1e-05,Shomate,homoskedastic,0.01,1.0,1.6012820914749388,0.8006410457374694
1e-05,1e-06,1e-06,1e-05,Shomate,homoskedastic,0.02,1.0,2.0610790643887773,1.0305395321943887
1e-05,1e-06,1e-06,1e-05,Shomate,homoskedastic,0.05,1.0,1.7641010049800188,0.8820505024900094
